,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
522,goldspa01,2016,ARI,Paul,Goldschmidt,225,75,R,NL,158.0,172.0,579.0,24.0,95.0,32.0,106.0,33.0,3.0,5.0,110.0,150.0,15.0,7.0,0.0,8.0,14.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-08-01,USA,1b,['1b'],0.2970639032815199,0.41051136363636365,112.0,0.48877374784110533,0.8992851114774689,0.4455958549222798,0.5106382978723404,0.8617886178861789,0.7142857142857143,0.5161290322580645,1.0,3.0484375172245777
928,myerswi01,2016,SDN,Wil,Myers,205,75,R,NL,157.0,155.0,599.0,28.0,94.0,28.0,99.0,29.0,4.0,6.0,68.0,160.0,1.0,4.0,0.0,5.0,12.0,0.0,0.0,149.0,0.0,1.0,0.0,3.0,0.0,7.0,10.0,0.0,2013-06-18,USA,1b,"['1b', 'of']",0.2587646076794658,0.33579881656804733,94.0,0.4607679465776294,0.7965667631456768,0.3881469115191987,0.5957446808510638,0.8048780487804879,0.706766917293233,0.45161290322580644,1.0,2.94714946166979
194,cabremi01,2016,DET,Miguel,Cabrera,240,76,R,AL,158.0,188.0,595.0,38.0,108.0,0.0,92.0,31.0,1.0,0.0,75.0,116.0,15.0,4.0,0.0,5.0,26.0,0.0,0.0,147.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2003-06-20,Venezuela,1b,['1b'],0.31596638655462184,0.39322533136966126,118.0,0.5630252100840336,0.9562505414536948,0.47394957983193275,0.8085106382978723,0.7479674796747967,0.8120300751879699,0.0,1.0,2.8424577729925717
465,freemfr01,2016,ATL,Freddie,Freeman,220,77,L,NL,158.0,178.0,589.0,34.0,91.0,6.0,102.0,43.0,6.0,1.0,89.0,171.0,18.0,10.0,0.0,5.0,12.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-09-01,USA,1b,['1b'],0.30220713073005095,0.3997113997113997,95.0,0.568760611205433,0.9684720109168327,0.45331069609507646,0.723404255319149,0.8292682926829268,0.6842105263157895,0.0967741935483871,1.0,2.7869679639613287
1423,vottojo01,2016,CIN,Joey,Votto,220,74,L,NL,158.0,181.0,556.0,29.0,97.0,8.0,101.0,34.0,2.0,1.0,108.0,120.0,15.0,5.0,0.0,8.0,16.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2007-09-04,CAN,1b,['1b'],0.3255395683453237,0.4342688330871492,116.0,0.5503597122302158,0.9846285453173651,0.4883093525179856,0.6170212765957447,0.8211382113821138,0.7293233082706767,0.12903225806451613,1.0,2.784824406831037
1165,rizzoan01,2016,CHN,Anthony,Rizzo,240,75,L,NL,155.0,170.0,583.0,32.0,109.0,3.0,94.0,43.0,4.0,5.0,74.0,108.0,8.0,16.0,0.0,3.0,13.0,0.0,0.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-06-09,USA,1b,['1b'],0.2915951972555746,0.38461538461538464,91.0,0.5437392795883362,0.9283546642037208,0.4373927958833619,0.6808510638297872,0.7642276422764228,0.8195488721804511,0.04838709677419355,1.0,2.7504074709442166
1112,ramirha01,2016,BOS,Hanley,Ramirez,235,74,R,AL,147.0,157.0,549.0,30.0,111.0,9.0,81.0,28.0,1.0,3.0,60.0,120.0,5.0,7.0,0.0,4.0,17.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2005-09-20,D.R.,1b,"['1b', 'dh']",0.2859744990892532,0.36129032258064514,98.0,0.5045537340619308,0.865844056642576,0.4289617486338798,0.6382978723404256,0.6585365853658537,0.8345864661654135,0.14516129032258066,1.0,2.7055439628281532
929,napolmi01,2016,CLE,Mike,Napoli,225,73,R,AL,150.0,133.0,557.0,34.0,101.0,5.0,92.0,22.0,1.0,1.0,78.0,194.0,2.0,5.0,0.0,5.0,15.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2006-05-04,USA,1b,"['1b', 'dh']",0.23877917414721722,0.33488372093023255,76.0,0.4649910233393178,0.7998747442695504,0.35816876122082586,0.723404255319149,0.7479674796747967,0.7593984962406015,0.08064516129032258,1.0,2.6695841537456957
226,cartech02,2016,MIL,Chris,Carter,245,76,R,NL,160.0,122.0,549.0,41.0,94.0,3.0,84.0,27.0,1.0,1.0,76.0,206.0,1.0,9.0,0.0,10.0,18.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2010-08-09,USA,1b,['1b'],0.2222222222222222,0.32142857142857145,53.0,0.4990892531876138,0.8205178246161853,0.3333333333333333,0.8723404255319149,0.6829268292682927,0.706766917293233,0.04838709677419355,1.0,2.6437546022009677
334,davisch02,2016,BAL,Chris,Davis,230,75,L,AL,157.0,125.0,566.0,38.0,84.0,1.0,99.0,21.0,0.0,0.0,88.0,219.0,3.0,8.0,0.0,3.0,6.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2008-06-26,USA,1b,['1b'],0.22084805653710246,0.3323308270676692,66.0,0.45936395759717313,0.7916947846648423,0.33127208480565373,0.8085106382978723,0.8048780487804879,0.631578947368421,0.016129032258064516,1.0,2.5923687515104996
663,hosmeer01,2016,KCA,Eric,Hosmer,225,76,L,AL,158.0,161.0,605.0,25.0,104.0,5.0,80.0,24.0,1.0,3.0,57.0,132.0,5.0,1.0,0.0,4.0,18.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2011-05-06,USA,1b,['1b'],0.26611570247933886,0.328335832083958,111.0,0.43305785123966944,0.7613936833236274,0.3991735537190083,0.5319148936170213,0.6504065040650406,0.7819548872180451,0.08064516129032258,1.0,2.4440949999094377
2,abreujo02,2016,CHA,Jose,Abreu,255,75,R,AL,159.0,183.0,624.0,25.0,100.0,0.0,67.0,32.0,1.0,2.0,47.0,125.0,7.0,15.0,0.0,9.0,21.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2014-03-31,Cuba,1b,['1b'],0.2932692307692308,0.35251798561151076,125.0,0.46794871794871795,0.8204667035602287,0.4399038461538462,0.5319148936170213,0.5447154471544715,0.7518796992481203,0.0,1.0,2.2684138861734593
533,gonzaad01,2016,LAN,Adrian,Gonzalez,215,74,L,NL,156.0,162.0,568.0,18.0,90.0,0.0,69.0,31.0,0.0,2.0,55.0,117.0,9.0,4.0,0.0,6.0,16.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2004-04-18,USA,1b,['1b'],0.2852112676056338,0.34913112164297,113.0,0.43485915492957744,0.7839902765725475,0.42781690140845074,0.3829787234042553,0.5609756097560976,0.6766917293233082,0.0,1.0,2.0484629638921117
99,beltbr01,2016,SFN,Brandon,Belt,220,77,L,NL,156.0,149.0,542.0,17.0,82.0,0.0,77.0,41.0,8.0,4.0,104.0,148.0,4.0,5.0,0.0,4.0,7.0,0.0,0.0,151.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2011-03-31,USA,1b,['1b'],0.27490774907749077,0.3938931297709924,83.0,0.474169741697417,0.8680628714684093,0.4123616236162362,0.3617021276595745,0.6260162601626016,0.6165413533834586,0.0,1.0,2.0166213648218707
314,croncj01,2016,LAA,C. J.,Cron,235,76,R,AL,116.0,113.0,407.0,16.0,69.0,2.0,51.0,25.0,2.0,3.0,24.0,75.0,1.0,7.0,0.0,5.0,9.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2014-05-03,USA,1b,"['1b', 'dh']",0.27764127764127766,0.32505643340857787,70.0,0.4668304668304668,0.7918869002390447,0.4164619164619165,0.3404255319148936,0.4146341463414634,0.518796992481203,0.03225806451612903,1.0,1.7225766517156056
904,morelmi01,2016,TEX,Mitch,Moreland,230,74,L,AL,147.0,107.0,460.0,22.0,60.0,1.0,49.0,21.0,0.0,0.0,35.0,118.0,5.0,8.0,0.0,0.0,8.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2010-07-29,USA,1b,['1b'],0.2326086956521739,0.2982107355864811,64.0,0.4217391304347826,0.7199498660212638,0.34891304347826085,0.46808510638297873,0.3983739837398374,0.45112781954887216,0.016129032258064516,1.0,1.6826289854080136
544,gonzama01,2016,HOU,Marwin,Gonzalez,205,73,B,AL,141.0,123.0,484.0,13.0,51.0,12.0,55.0,26.0,3.0,6.0,22.0,118.0,1.0,5.0,6.0,1.0,16.0,0.0,0.0,92.0,14.0,22.0,11.0,18.0,1.0,0.0,19.0,3.0,2012-04-06,Venezuela,1b,"['1b', '2b', '3b', 'ss', 'lf', 'of']",0.25413223140495866,0.29296875,81.0,0.40082644628099173,0.6937951962809917,0.381198347107438,0.2765957446808511,0.44715447154471544,0.38345864661654133,0.1935483870967742,1.0,1.68195559704632
1176,rodrise01,2016,PIT,Sean,Rodriguez,200,72,R,NL,140.0,81.0,300.0,18.0,56.0,2.0,49.0,16.0,1.0,1.0,33.0,102.0,2.0,5.0,1.0,3.0,6.0,0.0,0.0,57.0,29.0,11.0,27.0,10.0,5.0,17.0,32.0,0.0,2008-04-19,USA,1b,"['1b', '2b', '3b', 'ss', 'lf', 'rf', 'of']",0.27,0.3489736070381232,46.0,0.51,0.8589736070381232,0.405,0.3829787234042553,0.3983739837398374,0.42105263157894735,0.03225806451612903,1.0,1.639663403239169
1154,reynoma01,2016,COL,Mark,Reynolds,220,74,R,NL,118.0,111.0,393.0,14.0,53.0,1.0,61.0,24.0,0.0,2.0,42.0,112.0,1.0,4.0,0.0,2.0,6.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-05-16,USA,1b,['1b'],0.2824427480916031,0.35600907029478457,73.0,0.45038167938931295,0.8063907496840975,0.4236641221374046,0.2978723404255319,0.4959349593495935,0.39849624060150374,0.016129032258064516,1.0,1.6320966947720983
766,lindad01,2016,SEA,Adam,Lind,195,74,L,AL,126.0,96.0,401.0,20.0,58.0,0.0,48.0,17.0,0.0,1.0,26.0,89.0,3.0,1.0,0.0,2.0,14.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2006-09-02,USA,1b,"['1b', 'dh']",0.23940149625935161,0.28604651162790695,59.0,0.4314214463840399,0.7174679580119468,0.35910224438902744,0.425531914893617,0.3902439024390244,0.43609022556390975,0.0,1.0,1.6109682872855788
710,josepto01,2016,PHI,Tommy,Joseph,255,73,R,NL,107.0,81.0,315.0,21.0,47.0,1.0,47.0,15.0,0.0,1.0,22.0,75.0,0.0,4.0,0.0,6.0,11.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-13,USA,1b,['1b'],0.2571428571428571,0.30835734870317005,45.0,0.5047619047619047,0.8131192534650749,0.3857142857142857,0.44680851063829785,0.3821138211382114,0.3533834586466165,0.016129032258064516,1.0,1.584149108395476
852,mauerjo01,2016,MIN,Joe,Mauer,225,77,L,AL,134.0,129.0,494.0,11.0,49.0,2.0,68.0,22.0,4.0,0.0,79.0,93.0,10.0,1.0,0.0,2.0,11.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2004-04-05,USA,1b,"['1b', 'dh']",0.2611336032388664,0.3628472222222222,92.0,0.38866396761133604,0.7515111898335582,0.39170040485829966,0.23404255319148937,0.5528455284552846,0.3684210526315789,0.03225806451612903,1.0,1.5792676036527815
669,howarry01,2016,PHI,Ryan,Howard,250,76,L,NL,112.0,65.0,331.0,25.0,59.0,0.0,35.0,10.0,0.0,1.0,27.0,114.0,2.0,1.0,0.0,3.0,7.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2004-09-01,USA,1b,['1b'],0.19637462235649547,0.2569060773480663,30.0,0.45317220543806647,0.7100782827861327,0.29456193353474325,0.5319148936170213,0.2845528455284553,0.44360902255639095,0.0,1.0,1.5546386952366107
1479,zimmery01,2016,WAS,Ryan,Zimmerman,225,75,R,NL,115.0,93.0,427.0,15.0,46.0,4.0,60.0,18.0,1.0,1.0,29.0,104.0,1.0,5.0,0.0,6.0,12.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2005-09-01,USA,1b,['1b'],0.21779859484777517,0.27194860813704497,59.0,0.3700234192037471,0.6419720273407921,0.3266978922716628,0.3191489361702128,0.4878048780487805,0.3458646616541353,0.06451612903225806,1.0,1.5440324971770494
30,alonsyo01,2016,OAK,Yonder,Alonso,230,73,L,AL,156.0,122.0,482.0,7.0,56.0,3.0,52.0,34.0,0.0,1.0,45.0,74.0,1.0,1.0,0.0,4.0,15.0,0.0,0.0,145.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2010-09-01,Cuba,1b,['1b'],0.25311203319502074,0.3157894736842105,81.0,0.36721991701244816,0.6830093906966587,0.3796680497925311,0.14893617021276595,0.42276422764227645,0.42105263157894735,0.04838709677419355,1.0,1.4208081760007143
907,morrilo01,2016,TBA,Logan,Morrison,240,74,L,AL,107.0,84.0,353.0,14.0,43.0,4.0,45.0,18.0,1.0,2.0,37.0,89.0,1.0,6.0,0.0,2.0,4.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2010-07-27,USA,1b,"['1b', 'dh']",0.23796033994334279,0.31909547738693467,51.0,0.41359773371104813,0.7326932110979828,0.3569405099150142,0.2978723404255319,0.36585365853658536,0.3233082706766917,0.06451612903225806,1.0,1.4084909085860813
12,adamsma01,2016,SLN,Matt,Adams,260,75,L,NL,118.0,74.0,297.0,16.0,54.0,0.0,37.0,18.0,0.0,1.0,25.0,81.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-05-20,USA,1b,['1b'],0.24915824915824916,0.308868501529052,40.0,0.4713804713804714,0.7802489729095234,0.37373737373737376,0.3404255319148936,0.3008130081300813,0.40601503759398494,0.0,0.9892000000000001,1.4056442491014691
