,playerID,yearID,LastOfteamID,nameFirst,nameLast,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
163,arenano01,2016,COL,Nolan,Arenado,160.0,182.0,618.0,41.0,133.0,2.0,116.0,35.0,6.0,3.0,68.0,103.0,10.0,2.0,0.0,8,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.29449838187702265,0.3620689655172414,100.0,0.56957928802589,0.9316482535431314,0.441747572815534,0.8723404255319149,0.943089430894309,1.0,0.03225806451612903,1.0,3.289435493757887
506,bryankr01,2016,CHN,Kris,Bryant,155.0,176.0,603.0,39.0,102.0,8.0,121.0,35.0,3.0,5.0,75.0,154.0,5.0,18.0,0.0,3,0.0,0.0,9.0,0.0,107.0,1.0,60.0,1.0,14.0,69.0,1.0,3b,"['3b', 'lf', 'rf', 'of']",0.29187396351575456,0.38483547925608014,99.0,0.5538971807628524,0.9387326600189325,0.43781094527363185,0.8297872340425532,0.983739837398374,0.7669172932330827,0.12903225806451613,1.0,3.1472875680121577
1182,donaljo02,2016,TOR,Josh,Donaldson,155.0,164.0,577.0,37.0,99.0,7.0,122.0,32.0,5.0,1.0,109.0,119.0,6.0,9.0,2.0,3,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,19.0,3b,"['3b', 'dh']",0.28422876949740034,0.4040114613180516,90.0,0.5493934142114385,0.9534048755294902,0.42634315424610053,0.7872340425531915,0.991869918699187,0.7443609022556391,0.11290322580645161,1.0,3.0627112435605697
4853,villajo01,2016,MIL,Jonathan,Villar,156.0,168.0,589.0,19.0,63.0,62.0,92.0,38.0,3.0,18.0,79.0,174.0,4.0,2.0,5.0,4,0.0,0.0,0.0,11.0,42.0,108.0,0.0,0.0,0.0,0.0,0.0,ss,"['2b', '3b', 'ss']",0.28522920203735147,0.3694362017804154,108.0,0.4567062818336163,0.8261424836140316,0.4278438030560272,0.40425531914893614,0.7479674796747967,0.47368421052631576,1.0,1.0,3.0537508124060757
1510,frazito01,2016,CHA,Todd,Frazier,158.0,133.0,590.0,40.0,98.0,15.0,89.0,21.0,0.0,5.0,64.0,163.0,1.0,4.0,1.0,7,0.0,0.0,7.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,2.0,3b,['3b'],0.22542372881355932,0.3022556390977444,72.0,0.46440677966101696,0.7666624187587614,0.338135593220339,0.851063829787234,0.7235772357723578,0.7368421052631579,0.24193548387096775,1.0,2.8915542479140566
2751,machama01,2016,BAL,Manny,Machado,157.0,188.0,640.0,37.0,96.0,0.0,105.0,40.0,1.0,3.0,48.0,120.0,9.0,3.0,0.0,5,0.0,0.0,0.0,0.0,114.0,45.0,0.0,0.0,0.0,0.0,0.0,3b,"['3b', 'ss']",0.29375,0.34339080459770116,110.0,0.5328125,0.8762033045977011,0.44062500000000004,0.7872340425531915,0.8536585365853658,0.7218045112781954,0.0,1.0,2.803322090416753
313,beltrad01,2016,TEX,Adrian,Beltre,153.0,175.0,583.0,32.0,104.0,1.0,89.0,31.0,1.0,1.0,48.0,66.0,6.0,6.0,0.0,3,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,12.0,3b,"['3b', 'dh']",0.30017152658662094,0.3578125,111.0,0.5214408233276158,0.8792533233276157,0.4502572898799314,0.6808510638297872,0.7235772357723578,0.7819548872180451,0.016129032258064516,1.0,2.652769508958186
4326,seageky01,2016,SEA,Kyle,Seager,158.0,166.0,597.0,30.0,99.0,3.0,89.0,36.0,3.0,1.0,69.0,108.0,10.0,8.0,0.0,2,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,2.0,3b,['3b'],0.2780569514237856,0.3594674556213018,97.0,0.4991624790619765,0.8586299346832783,0.4170854271356784,0.6382978723404256,0.7235772357723578,0.7443609022556391,0.04838709677419355,1.0,2.5717085342782946
2690,longoev01,2016,TBA,Evan,Longoria,160.0,173.0,633.0,36.0,98.0,0.0,81.0,41.0,4.0,3.0,42.0,144.0,6.0,3.0,0.0,7,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,8.0,3b,['3b'],0.27330173775671407,0.3182481751824818,92.0,0.5213270142180095,0.8395751894004913,0.4099526066350711,0.7659574468085106,0.6585365853658537,0.7368421052631579,0.0,1.0,2.5712887440725933
2558,lambja01,2016,ARI,Jake,Lamb,151.0,130.0,523.0,29.0,91.0,6.0,81.0,31.0,9.0,1.0,64.0,154.0,5.0,3.0,0.0,4,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.248565965583174,0.33164983164983164,61.0,0.5086042065009561,0.8402540381507877,0.372848948374761,0.6170212765957447,0.6585365853658537,0.6842105263157895,0.0967741935483871,1.0,2.4293915302005358
3886,rendoan01,2016,WAS,Anthony,Rendon,156.0,153.0,567.0,20.0,85.0,12.0,91.0,38.0,2.0,6.0,65.0,117.0,2.0,7.0,0.0,8,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2698412698412698,0.34775888717156106,93.0,0.4497354497354497,0.7974943369070108,0.40476190476190477,0.425531914893617,0.7398373983739838,0.6390977443609023,0.1935483870967742,1.0,2.4027773494871822
4751,turneju01,2016,LAN,Justin,Turner,151.0,153.0,556.0,27.0,90.0,4.0,79.0,34.0,3.0,1.0,48.0,107.0,1.0,10.0,0.0,8,0.0,0.0,1.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,2.0,3b,['3b'],0.2751798561151079,0.3392282958199357,89.0,0.49280575539568344,0.8320340512156191,0.4127697841726619,0.574468085106383,0.6422764227642277,0.6766917293233082,0.06451612903225806,1.0,2.370722150398839
3799,ramirjo01,2016,CLE,Jose,Ramirez,152.0,176.0,565.0,11.0,76.0,22.0,84.0,46.0,3.0,7.0,44.0,62.0,1.0,4.0,1.0,4,0.0,0.0,0.0,9.0,117.0,5.0,48.0,0.0,0.0,48.0,0.0,3b,"['3b', 'lf', 'of']",0.31150442477876106,0.36304700162074555,116.0,0.46194690265486726,0.8249939042756128,0.4672566371681416,0.23404255319148937,0.6829268292682927,0.5714285714285714,0.3548387096774194,1.0,2.310493300733915
4560,suareeu01,2016,CIN,Eugenio,Suarez,159.0,140.0,565.0,21.0,70.0,11.0,78.0,25.0,2.0,5.0,51.0,155.0,0.0,8.0,0.0,3,0.0,0.0,0.0,0.0,151.0,2.0,0.0,0.0,0.0,0.0,1.0,3b,['3b'],0.24778761061946902,0.31738437001594894,92.0,0.41061946902654867,0.7280038390424977,0.37168141592920356,0.44680851063829785,0.6341463414634146,0.5263157894736842,0.1774193548387097,1.0,2.1563714123433098
1499,francma02,2016,PHI,Maikel,Franco,152.0,148.0,581.0,25.0,88.0,1.0,67.0,23.0,1.0,1.0,40.0,106.0,7.0,5.0,0.0,4,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2547332185886403,0.30634920634920637,99.0,0.4268502581755594,0.7331994645247657,0.38209982788296043,0.5319148936170213,0.5447154471544715,0.6616541353383458,0.016129032258064516,1.0,2.1365133362508635
3571,perezhe01,2016,MIL,Hernan,Perez,123.0,110.0,404.0,13.0,56.0,34.0,50.0,18.0,3.0,7.0,18.0,94.0,0.0,1.0,3.0,4,0.0,0.0,6.0,11.0,60.0,3.0,2.0,8.0,36.0,46.0,0.0,3b,"['2b', '3b', 'rf', 'of']",0.2722772277227723,0.30210772833723654,76.0,0.4282178217821782,0.7303255501194148,0.40841584158415845,0.2765957446808511,0.4065040650406504,0.42105263157894735,0.5483870967741935,1.0,2.0609553796588007
656,carpema01,2016,SLN,Matt,Carpenter,129.0,128.0,473.0,21.0,68.0,0.0,81.0,36.0,6.0,4.0,81.0,108.0,6.0,5.0,3.0,4,0.0,0.0,45.0,40.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,3b,"['1b', '2b', '3b']",0.27061310782241016,0.38010657193605685,65.0,0.5052854122621564,0.8853919841982132,0.40591966173361527,0.44680851063829785,0.6585365853658537,0.5112781954887218,0.0,1.0,2.0225429532264885
1904,gyorkje01,2016,SLN,Jedd,Gyorko,128.0,97.0,400.0,30.0,59.0,0.0,58.0,9.0,1.0,0.0,37.0,96.0,1.0,0.0,0.0,1,0.0,0.0,11.0,46.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,2b,"['1b', '2b', '3b', 'ss']",0.2425,0.3059360730593607,57.0,0.495,0.8009360730593607,0.36375,0.6382978723404256,0.4715447154471545,0.44360902255639095,0.0,1.0,1.9172016103439709
